TEAMID,NAME,TEAMEMAIL,PHONENUMBER,WEBSITE,SPORT
8,iilfepai,iilfepaijygncqemo@gmail.com,877650521,www.iilfepai.com,bgukvgux
29,rihmsrw,rihmsrwamntfxqo@gmail.com,7113867511,www.rihmsrw.com,bgukvgux
34,lkcnaoeaseko,lkcnaoeasekorgacwbkfiecxn@gmail.com,2081615316,www.lkcnaoeaseko.com,bgukvgux
123,onjqgukqot,onjqgukqotvgbavqawmyr@gmail.com,7248151741,www.onjqgukqot.com,bgukvgux
225,sfyrxt,sfyrxtwndmcgl@gmail.com,4272467378,www.sfyrxt.com,bgukvgux
234,rebyirgikjt,rebyirgikjtbelfyrpxrluh@gmail.com,6512257155,www.rebyirgikjt.com,bgukvgux
311,ndeolskkh,ndeolskkhqxkqoxuuul@gmail.com,6474738485,www.ndeolskkh.com,bgukvgux
361,uqfjjgloiabpw,uqfjjgloiabpwawaccuomtnyjxu@gmail.com,704032726,www.uqfjjgloiabpw.com,bgukvgux
520,jgbylx,jgbylxwqkwgrf@gmail.com,7335512425,www.jgbylx.com,bgukvgux
616,wkntfygahqnmjy,wkntfygahqnmjykynbefdwiranbgp@gmail.com,7163108763,www.wkntfygahqnmjy.com,bgukvgux
652,yvwlspfe,yvwlspfeatqfbypcf@gmail.com,266335382,www.yvwlspfe.com,bgukvgux
832,gsvudtcchdkrj,gsvudtcchdkrjhpvwaotgnwhjoi@gmail.com,3825577457,www.gsvudtcchdkrj.com,bgukvgux
902,chcdnuq,chcdnuqgymexdbf@gmail.com,4025117864,www.chcdnuq.com,bgukvgux
950,oewquj,oewqujeasacwe@gmail.com,5845052464,www.oewquj.com,bgukvgux
961,ckqvykuy,ckqvykuyiemoykayw@gmail.com,1687863511,www.ckqvykuy.com,bgukvgux
991,cftcxkihynnqk,cftcxkihynnqkymjtyeyjlepogh@gmail.com,6451018370,www.cftcxkihynnqk.com,bgukvgux
288,qspoltevygie,qspoltevygiehabugamdictal@gmail.com,1245075745,www.qspoltevygie.com,bhuvlipbh
442,lnbrlfrp,lnbrlfrpsinxiggdk@gmail.com,2452567313,www.lnbrlfrp.com,bhuvlipbh
452,wdjdvahtilqxmi,wdjdvahtilqxmimaheqekysjeufoa@gmail.com,1351880834,www.wdjdvahtilqxmi.com,bhuvlipbh
471,lccinojukmpwh,lccinojukmpwhdjhpenxspdglid@gmail.com,3265627383,www.lccinojukmpwh.com,bhuvlipbh
548,mjkivbbruuj,mjkivbbruujunwkxndumrih@gmail.com,1271265718,www.mjkivbbruuj.com,bhuvlipbh
570,qmafimoamh,qmafimoamhlofiufoeuql@gmail.com,8168868073,www.qmafimoamh.com,bhuvlipbh
642,irdxqbyufg,irdxqbyufgqbymnqrgfnd@gmail.com,210877737,www.irdxqbyufg.com,bhuvlipbh
