USERNAME,TEAMID
ftmjowpt25882,73
fsuyfnmi78324,767
ssmjhvwq52394,662
ltmlbpls94003,453
jmcambxj50238,859
khpgeeaa20040,922
fenpyibc4877,724
xoyrbvpe70348,498
bypeydgc92554,369
savdysbw90032,563
twnobkar6640,709
meqxdrgo37996,642
vefgeryy85804,92
cchopbbi83502,787
cqrjehik93335,529
ujuriklw10226,594
yuqadpyk79764,785
ywmuilyl5660,447
qhvnqiek72100,682
drllpesq76545,736
aaagynti72005,606
cstvctta71518,131
ypoovexo12670,318
whvefxpp11120,210
psdastql19381,892
ilowaxwl22261,134
ovsbdeao42568,782
dksuibio49400,340
fnxwilma83453,787
kcjllqsl67761,677
tsqhrxlb12490,938
unjxgmoe55394,770
wpcdhjdv88521,154
qknyopsw90320,875
xkxvgeyy22747,842
qponbija26631,952
xgdsljyq95567,472
vbalxtew69013,204
agmyfeqs26914,594
odifiwlj9240,849
usnjifko20801,646
vqfxvwfh9796,485
esiymtnx53632,412
cmiypiwa20385,2
moilukph52246,937
adfcfqdh90779,620
ymassgqq12611,270
bhpeiguq218,319
dqeowkvo42896,437
ctrrtkht57756,596
bnrgcuht75785,640
qtqvxwcc40783,234
wenxabba83925,797
glcxfdox29494,513
moseggls49773,184
txgakxsd63976,96
ngirbtlq86557,133
guaxsycp97700,627
sdgolsxe80466,430
cjbcwjbb45944,939
dxkfictc25991,318
ydrvbtsl31414,674
egipjbfn55962,781
awnhfjvp10111,985
xlkmogep25988,84
yjcmuybd20500,980
fmckctut98681,391
uiwpdhvg36148,536
uhrnyoui87604,640
hmvfgiwm18140,92
vbikfjqq62825,758
qpyfvbkp57127,116
tlssmkpe90594,741
avmfocqb66979,963
cdiitqea78098,66
qcyfmagx42132,996
xqlcakfg20953,401
puwmucml18766,918
seposwkx5749,625
mqmgpnbh86588,486
pcosfcim3185,685
dbwhcksl82168,925
ylmujasr97915,949
mtyxcsop57573,619
jnirkxac40805,286
qidbkblm58670,908
syrvbnmd76351,304
axxbdqoi66384,98
jupqfkke93494,808
mjyonsdm51128,124
nifsowst71504,788
yhojulwh65642,657
lrggvfbd44557,972
dtjlvrvy54950,836
edunsjjs87922,259
sqvwxmvc93144,189
cwsjaaqu37125,157
dffdjajl66486,811
meweepiu87090,673
uqqfjtue9772,284
fwggiuqc82596,994
lmausjgn68524,375
ovtohklg3682,663
mafyofkg3762,63
vhpvpnim69910,937
gueaqjfw77588,41
neffvrtx36182,405
cxmidtql58480,413
hrbbttix29094,12
qbhgbdlp62826,961
pmncgqur77999,102
ibykxidp6122,26
iroiwfwu27619,178
xuikacqp71267,705
nuttpgxp79993,653
bixpasny14436,860
eqggfijr3139,997
thsvlkmd19177,121
brerepmm60473,310
xvwqgxhh78907,904
lkexjrwr61040,556
fxtptgqm34295,281
kxxkxdyd3711,402
iknguihs17556,364
ctxyufkt90364,821
ntruyvxi58762,772
asvjgghq12895,442
gcxqieyb90599,674
rcibvunq76572,880
kulpkdog47422,816
oainkxxl8648,173
hktkykbu92353,938
pfaavhso14834,757
reqkcppy21330,4
utjhlvra89077,383
isgpktuc87542,685
ipkukucl52028,736
tixkquvc61138,620
dntlntal92321,542
muxqqmpu89324,85
viixqjfr11419,396
tnxxatpt50374,825
dywwhouh27692,591
hbagobgl1263,976
jesvpjel77985,789
oicugukl2976,196
fhjqqxde66373,435
vktacmbv70556,353
mbnxktlb48517,462
icpurqpc35195,382
afhuawap7808,972
qrtnreks24809,194
mppdajjt74431,251
yxluisuy66513,876
ebnubgmx62458,710
wqboqigj89435,736
ciskvrqg51211,53
uqbfvvxv59310,155
stcwvbek17512,296
hoaemsri8301,610
eeiibybp32851,6
aexgooym32051,696
dwgmggpe75905,527
fwpfqbwh14474,428
xpveoaob74721,778
nrxwhdnf5787,624
ufnaubui85277,645
tlbylnkm23639,733
smmbagbl33656,894
mhfupxgh68792,985
emiwrwav97384,2
pspcubmu47322,420
nmpfaxll78351,309
twqvvbta68973,910
bofelmhv24318,394
elghwkey48251,17
urbihnxa89072,654
